NOX,INDUS,ZN ,MEDV
0.538,2.31,18.0,24.0
0.469,7.07,0.0,21.6
0.469,7.07,0.0,34.7
0.458,2.18,0.0,33.4
0.458,2.18,0.0,36.2
0.458,2.18,0.0,28.7
0.524,7.87,12.5,22.9
0.524,7.87,12.5,27.1
0.524,7.87,12.5,18.9
0.524,7.87,12.5,15.0
0.524,7.87,12.5,18.9
0.524,7.87,12.5,21.7
0.538,8.14,0.0,20.4
0.538,8.14,0.0,18.2
0.538,8.14,0.0,19.9
0.538,8.14,0.0,23.1
0.538,8.14,0.0,17.5
0.538,8.14,0.0,20.2
0.538,8.14,0.0,18.2
0.538,8.14,0.0,13.6
0.538,8.14,0.0,19.6
0.538,8.14,0.0,15.2
0.538,8.14,0.0,15.6
0.538,8.14,0.0,13.9
0.538,8.14,0.0,16.6
0.538,8.14,0.0,14.8
0.538,8.14,0.0,18.4
0.538,8.14,0.0,21.0
0.538,8.14,0.0,12.7
0.538,8.14,0.0,13.2
0.538,8.14,0.0,13.1
0.538,8.14,0.0,13.5
0.499,5.96,0.0,18.9
0.499,5.96,0.0,20.0
0.499,5.96,0.0,21.0
0.499,5.96,0.0,24.7
0.428,2.95,75.0,30.8
0.428,2.95,75.0,34.9
0.448,6.91,0.0,26.6
0.448,6.91,0.0,25.3
0.448,6.91,0.0,24.7
0.448,6.91,0.0,21.2
0.448,6.91,0.0,19.3
0.448,6.91,0.0,20.0
0.448,6.91,0.0,16.6
0.448,6.91,0.0,14.4
0.448,6.91,0.0,19.4
0.439,5.64,21.0,19.7
0.439,5.64,21.0,20.5
0.439,5.64,21.0,25.0
0.439,5.64,21.0,23.4
0.41,4.0,75.0,18.9
0.403,1.22,90.0,35.4
0.41,0.74,85.0,24.7
0.453,5.13,25.0,23.3
0.453,5.13,25.0,19.6
0.453,5.13,25.0,18.7
0.453,5.13,25.0,16.0
0.453,5.13,25.0,22.2
0.453,5.13,25.0,25.0
0.4161,1.38,17.5,33.0
0.398,3.37,80.0,23.5
0.398,3.37,80.0,19.4
0.409,6.07,12.5,22.0
0.409,6.07,12.5,17.4
0.409,6.07,12.5,20.9
0.413,10.81,0.0,24.2
0.413,10.81,0.0,21.7
0.413,10.81,0.0,22.8
0.413,10.81,0.0,23.4
0.437,12.83,0.0,24.1
0.437,12.83,0.0,21.4
0.437,12.83,0.0,20.0
0.437,12.83,0.0,20.8
0.437,12.83,0.0,21.2
0.437,12.83,0.0,20.3
0.426,4.86,25.0,28.0
0.426,4.86,25.0,23.9
0.426,4.86,25.0,24.8
0.426,4.86,25.0,22.9
0.449,4.49,0.0,23.9
0.449,4.49,0.0,26.6
0.449,4.49,0.0,22.5
0.449,4.49,0.0,22.2
0.489,3.41,0.0,23.6
0.489,3.41,0.0,28.7
0.489,3.41,0.0,22.6
0.489,3.41,0.0,22.0
0.464,15.04,28.0,22.9
0.464,15.04,28.0,25.0
0.464,15.04,28.0,20.6
0.445,2.89,0.0,28.4
0.445,2.89,0.0,21.4
0.445,2.89,0.0,38.7
0.445,2.89,0.0,43.8
0.445,2.89,0.0,33.2
0.52,8.56,0.0,27.5
0.52,8.56,0.0,26.5
0.52,8.56,0.0,10.63
0.52,8.56,0.0,19.3
0.52,8.56,0.0,20.1
0.52,8.56,0.0,19.5
0.52,8.56,0.0,19.5
0.52,8.56,0.0,20.4
0.52,8.56,0.0,19.8
0.52,8.56,0.0,19.4
0.52,8.56,0.0,21.7
0.547,10.01,0.0,22.8
0.547,10.01,0.0,18.8
0.547,10.01,0.0,18.7
0.547,10.01,0.0,18.5
0.547,10.01,0.0,18.3
0.547,10.01,0.0,21.2
0.547,10.01,0.0,19.2
0.547,10.01,0.0,20.4
0.547,10.01,0.0,19.3
0.581,25.65,0.0,22.0
0.581,25.65,0.0,20.3
0.581,25.65,0.0,20.5
0.581,25.65,0.0,17.3
0.581,25.65,0.0,18.8
0.581,25.65,0.0,21.4
0.581,25.65,0.0,15.7
0.624,21.89,0.0,16.2
0.624,21.89,0.0,18.0
0.624,21.89,0.0,14.3
0.624,21.89,0.0,19.2
0.624,21.89,0.0,19.6
0.624,21.89,0.0,23.0
0.624,21.89,0.0,18.4
0.624,21.89,0.0,15.6
0.624,21.89,0.0,18.1
0.624,21.89,0.0,17.4
0.624,21.89,0.0,17.1
0.624,21.89,0.0,13.3
0.624,21.89,0.0,17.8
0.624,21.89,0.0,14.0
0.871,19.58,0.0,11.8
0.871,19.58,0.0,14.6
0.871,19.58,0.0,17.8
0.871,19.58,0.0,15.4
0.871,19.58,0.0,21.5
0.871,19.58,0.0,15.3
0.871,19.58,0.0,19.4
0.871,19.58,0.0,17.0
0.871,19.58,0.0,15.02
0.871,19.58,0.0,16.14
0.605,19.58,0.0,41.3
0.605,19.58,0.0,27.0
0.605,19.58,0.0,50.0
0.605,19.58,0.0,50.0
0.605,19.58,0.0,50.0
0.605,19.58,0.0,22.7
0.605,19.58,0.0,25.0
0.605,19.58,0.0,50.0
0.605,19.58,0.0,23.8
0.605,19.58,0.0,23.8
0.605,19.58,0.0,22.3
0.605,19.58,0.0,17.4
0.605,19.58,0.0,19.1
0.51,4.05,0.0,23.1
0.51,4.05,0.0,23.6
0.51,4.05,0.0,22.6
0.51,4.05,0.0,29.4
0.51,4.05,0.0,23.2
0.51,4.05,0.0,24.6
0.51,4.05,0.0,29.9
0.488,2.46,0.0,37.2
0.488,2.46,0.0,39.8
0.488,2.46,0.0,36.2
0.488,2.46,0.0,37.9
0.488,2.46,0.0,32.5
0.488,2.46,0.0,26.4
0.488,2.46,0.0,29.6
0.488,2.46,0.0,50.0
0.437,3.44,45.0,32.0
0.437,3.44,45.0,29.8
0.437,3.44,45.0,34.9
0.437,3.44,45.0,37.0
0.437,3.44,45.0,30.5
0.437,3.44,45.0,36.4
0.401,2.93,60.0,31.1
0.401,2.93,60.0,29.1
0.422,0.46,80.0,50.0
0.404,1.52,80.0,33.3
0.404,1.52,80.0,30.3
0.404,1.52,80.0,34.6
0.403,1.47,95.0,34.9
0.403,1.47,95.0,32.9
0.415,2.03,82.5,24.1
0.415,2.03,82.5,42.3
0.4161,2.68,95.0,48.5
0.4161,2.68,95.0,50.0
0.489,10.59,0.0,22.6
0.489,10.59,0.0,24.4
0.489,10.59,0.0,22.5
0.489,10.59,0.0,24.4
0.489,10.59,0.0,21.7
0.489,10.59,0.0,19.3
0.489,10.59,0.0,22.4
0.489,10.59,0.0,28.1
0.489,10.59,0.0,23.7
0.489,10.59,0.0,25.0
0.55,13.89,0.0,23.3
0.55,13.89,0.0,28.7
0.55,13.89,0.0,21.5
0.55,13.89,0.0,23.0
0.507,6.2,0.0,26.7
0.507,6.2,0.0,21.7
0.507,6.2,0.0,27.5
0.507,6.2,0.0,30.1
0.504,6.2,0.0,44.8
0.504,6.2,0.0,50.0
0.504,6.2,0.0,37.6
0.504,6.2,0.0,31.6
0.504,6.2,0.0,46.7
0.504,6.2,0.0,31.5
0.504,6.2,0.0,24.3
0.504,6.2,0.0,31.7
0.507,6.2,0.0,41.7
0.507,6.2,0.0,48.3
0.507,6.2,0.0,29.0
0.507,6.2,0.0,24.0
0.507,6.2,0.0,25.1
0.507,6.2,0.0,31.5
0.428,4.93,30.0,23.7
0.428,4.93,30.0,23.3
0.428,4.93,30.0,22.0
0.428,4.93,30.0,20.1
0.428,4.93,30.0,22.2
0.428,4.93,30.0,23.7
0.431,5.86,22.0,17.6
0.431,5.86,22.0,18.5
0.431,5.86,22.0,24.3
0.431,5.86,22.0,20.5
0.431,5.86,22.0,24.5
0.431,5.86,22.0,26.2
0.431,5.86,22.0,24.4
0.431,5.86,22.0,24.8
0.431,5.86,22.0,29.6
0.431,5.86,22.0,42.8
